5,9,0,0.6,Yes
0,0.094339623,1,0.997142857,Yes
1,0.185082873,0,0.42,No
0,0.094488189,0,0.59,Yes
4,0.843292442,0,0.63,Yes
11,0.609090909,0,0.28,No
17,0.92344086,1,0.25,No
0,1,0,0.45,No
0,0.080645161,4,0.67,Yes
124,6,0,0.3,No
2,0.408284024,1,0.29,No
36,0.28019802,0,0.33,No
2,0.549707602,37321,0.26,No
0,0.364457831,0,0.23,No
34,0.512209649,0,0.4,No
0,0.242857143,0,0.49,Yes
12,1,0,0.37,No
41,0.586524965,0,0.22,No
25,1,1,0.36,No
0,3,1,0.5,Yes
28,1,5,0.48,No
0,1,1,0.71,Yes
3,1,453,0.35,No
31,11,339,0.34,No
104,1,70,0.3,No
0,1,24,0.48,No
130,9,94,0.47,No
61,13,619,0.56,Yes
0,1,0,0.4,No
2,0.444711538,3,0.44,No
7,1,1238,0.44,No
10,13,2,0.53,Yes
9,56,9,0.57,Yes
850,4,21,0.43,No
0,4,0,0.68,Yes
7,1,1,0.53,Yes
68,4,1364,0.53,Yes
869,9,3,0.69,Yes
50,5,7,0.57,Yes
0,2693,0,0.76,Yes
0,0.108695652,0,0.72,Yes
19,21,5,0.58,Yes
0,0.159090909,0,0.52,Yes
0,0.263157895,5,0.66,Yes
1,4,14,0.62,Yes
0,0.088652482,0,0.33,No
8,8,21,0.49,Yes
74,17,571,0.59,Yes
1,4,1,0.43,Yes
78,5,4,0.51,Yes
25,1,1,0.23,No
106,5,15,0.34,No
56,18,10,0.74,Yes
9,0.945219124,2,0.51,Yes
95,0.689844761,0,0.38,No
0,3,0,0.45,No
0,695,0,0.57,Yes
319,1,1566,0.4,No
313,1,0,0.55,Yes
2,3,15,0.69,Yes
2,0.949438202,3327,0.3,No
68,7,0,0.39,No
232,11,59,0.63,Yes
0,0.909244051,0,0.45,No
0,0.775672981,0,0.37,No
0,0.593586616,0,0.52,Yes
2,1,3,0.27,No
19,6,71,0.6,Yes
9,5,1662,0.45,No
104,2,0,0.55,Yes
0,784,0,0.57,Yes
70,2,4,0.37,No
2,3,1,0.39,No
182,1,1983,0.36,No
226,4,3,0.38,No
10,0.635329795,142,0.27,No
183,5,4,0.36,No
174,2,0,0.31,No
4,2,30,0.34,No
98,0.796271339,0,0.28,No
0,24,84,0.55,Yes
20,4,0,0.48,No
0,7,1,0.61,Yes
12,4,2,0.49,Yes
93,0.762955854,496,0.34,No
23,2,0,0.29,No
37,1,242,0.26,No
13,39,2,0.65,Yes
0,0.641428011,0,0.42,No
219,1,233,0.46,No
86,3,0,0.61,Yes
3,1,0,0.38,No
0,0.548955449,14,0.36,No
30,25,3,0.41,No
14,28,163,0.39,No
21,16,119,0.68,Yes
24,3,3463,0.52,Yes
177,1,158,0.29,No
24,0.90785124,223,0.36,No
17,1,94,0.5,Yes
